30
7321
1 3
1243.94 9.38846 12
1257.49 9.26007 13
1257.49 9.25459 14
1269.29 7.47589 15
1 16
1044 28 0
1070.86 24.4422 1
1070.86 24.4422 2
1095.94 22.1164 3
1118.96 19.2612 4
1141.82 16.968 5
1162.51 14.7229 6
1182.72 13.1638 7
1182.72 13.1638 8
1201.76 11.9294 9
1220.06 10.6972 10
1236.22 9.99477 11
1250.82 8.91101 12
1264.04 8.87217 13
1264.04 8.86356 14
1275.82 7.06821 15
1 11
1108 28 0
1132.76 24.8493 1
1132.76 24.8493 2
1156.83 22.701 3
1178.95 19.6059 4
1200.29 17.9417 5
1219.81 15.7465 6
1239.06 14.2339 7
1239.06 14.2342 8
1256.48 13.2818 9
1274.23 12.5199 10
1 11
116 36 0
178.281 29.9852 1
178.281 29.9852 2
239.728 25.9822 3
298.142 21.0134 4
354.414 17.2403 5
408.159 13.0096 6
459.707 9.00672 7
459.706 9.00548 8
507.777 4.06295 9
555.602 1.41716 10
1 11
204 36 0
262.33 30.3643 1
262.333 30.3631 2
320.188 25.4681 3
375.026 20.6309 4
428.92 16.9002 5
479.669 12.1966 6
528.069 8.75861 7
528.069 8.75057 8
574.648 5.04459 9
620.168 1.69927 10
1 11
212 36 0
269.867 30.4918 1
269.869 30.4906 2
326.934 25.6901 3
381.483 20.8522 4
434.558 17.2737 5
484.931 12.6323 6
533.174 9.23162 7
533.171 9.22326 8
579.578 5.53284 9
624.899 2.14089 10
1 11
228 36 0
283.789 31.086 1
283.79 31.0868 2
338.996 26.7715 3
392.106 22.0494 4
444.32 18.5941 5
494.353 13.9855 6
542.09 10.7395 7
542.08 10.7296 8
588.24 7.02287 9
632.983 3.54439 10
1 11
476 36 0
520.661 31.2289 1
520.662 31.2289 2
563.751 27.2342 3
605.759 22.8976 4
645.414 19.7305 5
684.324 16.1618 6
722.194 13.104 7
722.194 13.104 8
756.905 9.78221 9
792.402 7.04985 10
1 13
516 36 0
560.281 31.0942 1
560.28 31.0911 2
603.295 26.9974 3
644.818 22.6674 4
684.432 19.3778 5
722.72 15.8419 6
760.417 12.7837 7
760.417 12.7818 8
794.781 9.42819 9
828.889 6.77852 10
859.948 3.81166 11
889.183 1.43193 12
1 15
540 36 0
583.84 31.155 1
583.832 31.1505 2
626.188 27.1118 3
665.523 23.0033 4
704.842 19.8348 5
742.378 16.2818 6
778.979 13.5152 7
778.972 13.5057 8
813.187 10.2218 9
846.423 7.59338 10
877.435 4.64033 11
905.729 2.10799 12
932.763 1.57074 13
932.763 1.57074 14
1 15
556 36 0
599.687 31.2682 1
599.678 31.2632 2
641.738 27.2242 3
681.102 23.0587 4
720.255 19.8959 5
757.454 16.2623 6
792.968 13.3537 7
792.961 13.34 8
826.618 10.1566 9
859.514 7.59913 10
890.483 4.65437 11
918.001 2.07118 12
944.724 1.34829 13
944.724 1.3483 14
1 12
604 36 0
647.427 31.2844 1
647.419 31.2841 2
689.296 27.2237 3
729.076 23.0967 4
767.794 19.8719 5
803.981 16.5388 6
838.909 13.647 7
838.91 13.6423 8
871.592 10.2993 9
903.736 9.02256 10
932.718 6.12806 11
1 5
620 36 0
663.27 31.3743 1
663.265 31.3729 2
704.854 27.3021 3
744.628 23.1754 4
1 17
628 36 0
671.209 31.3383 1
671.205 31.3385 2
712.659 27.2548 3
752.415 23.1182 4
790.846 19.9313 5
826.79 16.5979 6
861.137 13.9424 7
861.136 13.9401 8
893.542 10.6163 9
925.139 9.3558 10
954.002 6.47116 11
980.795 4.44837 12
1006.52 3.98382 13
1006.51 3.98384 14
1028.89 1.17581 15
1050.09 0.514327 16
1 17
636 36 0
679.078 31.2158 1
679.074 31.2178 2
720.377 27.0951 3
760.045 22.9178 4
798.257 19.7661 5
834.104 16.4347 6
868.063 13.7609 7
868.061 13.7593 8
900.319 10.4678 9
931.684 8.97884 10
960.368 6.10446 11
987.024 4.07523 12
1012.54 3.50665 13
1012.53 3.5065 14
1034.76 0.700774 15
1055.87 0.0868226 16
1 16
652 36 0
694.954 31.1507 1
694.95 31.1509 2
735.748 27.0683 3
774.408 22.9447 4
811.681 19.7998 5
846.496 16.5009 6
879.725 13.5431 7
879.721 13.541 8
911.645 10.3867 9
942.219 8.39894 10
970.582 5.57374 11
997.057 3.53208 12
1022.04 2.71857 13
1022.02 2.71984 14
1043.99 -0.0148869 15
1 16
660 36 0
702.868 31.1764 1
702.863 31.1747 2
743.501 27.0988 3
781.788 22.9986 4
818.867 19.8327 5
853.079 16.4794 6
886.191 13.4963 7
886.188 13.4937 8
917.591 10.5281 9
948.036 8.4267 10
976.348 5.62633 11
1002.73 3.56131 12
1027.46 2.65475 13
1027.45 2.65639 14
1049.35 -0.0866466 15
1 16
668 36 0
710.08 31.5275 1
710.077 31.5246 2
750.59 27.4451 3
788.517 23.3173 4
825.448 20.1282 5
859.506 16.7425 6
892.552 13.7358 7
892.55 13.7339 8
923.829 10.794 9
954.06 8.6039 10
982.267 5.8773 11
1008.05 3.50105 12
1032.59 2.56655 13
1032.57 2.56819 14
1054.32 -0.192568 15
1 16
676 36 0
717.567 31.6144 1
717.565 31.6127 2
757.873 27.5277 3
795.229 23.3869 4
831.751 20.2042 5
865.376 16.7448 6
898.39 13.7322 7
898.388 13.7315 8
929.631 10.7833 9
959.734 8.56212 10
987.772 5.97022 11
1012.39 3.23558 12
1036.81 2.30236 13
1036.79 2.30419 14
1058.35 -0.445027 15
1 17
708 36 0
747.939 31.6635 1
747.94 31.6638 2
785.588 28.0249 3
821.914 24.0245 4
856.672 20.742 5
889.682 17.3783 6
921.19 14.3981 7
921.19 14.3981 8
951.427 11.2337 9
980.584 9.07475 10
1007.23 7.63671 11
1031.43 5.03286 12
1055.46 4.15554 13
1055.45 4.15756 14
1076.42 1.52538 15
1096.15 0.883796 16
1 18
716 36 0
755.4 31.7194 1
755.402 31.7192 2
792.602 28.19 3
828.403 24.2749 4
862.825 21.0372 5
895.41 17.7031 6
926.772 14.7283 7
926.772 14.7283 8
956.541 11.4858 9
985.571 9.36787 10
1011.75 8.29784 11
1035.79 5.83844 12
1059.63 4.99955 13
1059.61 5.00098 14
1080.41 2.40224 15
1100.02 1.73998 16
1117.82 0.277745 17
1 18
724 36 0
763.232 31.711 1
763.235 31.7104 2
800.323 28.2058 3
835.343 24.4 4
869.335 21.2738 5
901.709 17.9596 6
932.581 15.1108 7
932.581 15.1108 8
961.988 11.7881 9
990.578 9.97715 10
1016.59 8.89663 11
1040.03 7.01652 12
1063.56 6.26043 13
1063.54 6.26095 14
1083.54 3.72602 15
1102.91 2.93789 16
1120.05 1.74429 17
1 18
772 36 0
808.825 31.7976 1
808.825 31.7976 2
843.518 28.2546 3
876.02 24.3593 4
907.972 21.4823 5
937.084 18.4071 6
966.238 15.9983 7
966.236 15.9974 8
993.575 13.093 9
1019.69 11.7013 10
1043.59 9.56844 11
1065.32 7.76689 12
1086.43 6.93937 13
1086.41 6.93354 14
1104.41 4.4671 15
1121.04 2.99918 16
1136.67 2.49295 17
1 21
780 36 0
816.516 31.8122 1
816.516 31.8122 2
851.065 28.3177 3
883.437 24.4658 4
915.101 21.6068 5
944.189 18.5206 6
973.12 16.1804 7
973.117 16.1781 8
1000.16 13.3187 9
1026.15 11.9573 10
1049.99 9.84977 11
1071.48 7.97925 12
1092.53 7.21783 13
1092.51 7.20996 14
1110.38 4.72695 15
1126.89 3.29121 16
1142.37 2.89734 17
1155.85 -0.163519 18
1168.07 -0.270973 19
1168.07 -0.271002 20
1 22
788 36 0
823.97 31.8751 1
823.969 31.8751 2
858.427 28.3829 3
890.663 24.5389 4
922.008 21.753 5
951.077 18.6586 6
979.488 16.5151 7
979.484 16.5083 8
1006.44 13.6845 9
1032.25 12.3676 10
1055.73 10.5127 11
1077.04 8.53873 12
1098.02 7.8209 13
1098 7.81285 14
